Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
04/24/2026 11:00 AM,"4 PORTOFINO DR 706 PENSACOLA BEACH, FL- 32561","$575,000.00","$386,700.00","$575,000.00",2013,282S261000486003,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2013&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=282S261000486003
,"6154 FOREST PINES DR PENSACOLA, FL- 32526","$179,294.50","$169,937.00",Hidden,2025,391S305100009002,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=391S305100009002
,"13861 RED DRUM CT PERDIDO KEY, FL- 32507","$589,058.12","$438,129.00","$589,058.12",2025,143S320200023002,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=143S320200023002
05/05/2026 11:00 AM,"8710 N DORIS AVE PENSACOLA, FL- 32534","$83,597.86","$120,292.00","$83,597.86",2018,111S301901017016,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2018&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=111S301901017016
05/05/2026 11:00 AM,"8833 FOWLER AVE PENSACOLA, FL- 32534","$371,110.37","$337,139.00","$371,110.37",2023,101S301101090002,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2023&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=101S301101090002
05/05/2026 11:00 AM,"2960 ENGLISH OAK CIR PENSACOLA, FL- 32526","$68,195.63","$130,683.00","$68,195.63",2024,102S313000003008,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2024&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=102S313000003008
05/05/2026 11:00 AM,"1118 N 48TH AVE PENSACOLA, FL- 32506","$88,341.25","$159,877.00","$88,341.25",2025,342S301172340003,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=342S301172340003
,"145 POLO TERRACE PENSACOLA, FL- 32534","$300,063.43","$271,374.00","$300,063.43",2025,111S301102012003,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=111S301102012003
,"820 E JOHNSON AVE PENSACOLA, FL- 32514","$245,582.20","$214,449.00","$245,582.20",2025,131S301201102004,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=131S301201102004
05/12/2026 11:00 AM,"7424 STAGECOACH RD PENSACOLA, FL- 32526","$376,129.98","$292,633.00","$376,129.98",2024,211S311104003001,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2024&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=211S311104003001
,"126 MINTZ LN CANTONMENT, FL- 32533","$190,358.11","$123,262.00","$190,358.11",2025,101N314101130001,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2025&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=101N314101130001
,"7469 DECK LN PENSACOLA, FL- 32526","$215,264.94","$295,810.00","$215,264.94",2023,191S311103006001,https://escambia.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=2023&bypassPage=1,https://escpa.org/CAMA/Detail_a.aspx?Key=191S311103006001
